Work,Author,Page Number
1773 [1732] [My life closed twice before it’s close],vii,2594
Poem 124 [216],vii,2594
REBECCA HARDING DAVIS (1831-1910),vii,2597
Life in the Iron-Mills,vii,2599
Introduction,ACKNOWLEDGMENTS aviii,1
Timeline,ACKNOWLEDGMENTS aviii,14
WALT WHITMAN (1819-1892),ACKNOWLEDGMENTS aviii,17
Crossing Brooklyn Ferry,ACKNOWLEDGMENTS aviii,21
Out of the Cradle Endlessly Rocking,ACKNOWLEDGMENTS aviii,25
Song of Myself (1881),ACKNOWLEDGMENTS aviii,30
EMILY DICKINSON (1830-1886),ACKNOWLEDGMENTS aviii,74
39 [49] [I never lost as much but owice],ACKNOWLEDGMENTS aviii,78
112 [67] [Success is counted sweetest],ACKNOWLEDGMENTS aviii,79
124 [216] [Safe in their Alabaster Chambers - ],ACKNOWLEDGMENTS aviii,79
202 [185] [“Paith” is a fine invention],ACKNOWLEDGMENTS aviii,80
207 [214] [I taste a liquor never brewed - },ACKNOWLEDGMENTS aviii,80
225 [199] [I'm “wife” - I've finished that - ],ACKNOWLEDGMENTS aviii,80
236 [324] [Some keep the Sabbath going to Church - },ACKNOWLEDGMENTS aviii,81
269 [249] [Wild Nights - Wild Nights!],ACKNOWLEDGMENTS aviii,82
320 [258] [There's a certain Slant of light],ACKNOWLEDGMENTS aviii,82
"340 [280] [I felt a Funeral, in my Brain]",ACKNOWLEDGMENTS aviii,84
359 [328] [A Bird came down the Walk - |,ACKNOWLEDGMENTS aviii,84
"372 [341] [After great pain, a formal feeling comes - |",ACKNOWLEDGMENTS aviii,85
409 [303] [The Soul selects her own Society - |,ACKNOWLEDGMENTS aviii,85
448 [449] [I died for Beauty - but was scarce],ACKNOWLEDGMENTS aviii,86
479 [712] [Because | could not stop for Death - |,ACKNOWLEDGMENTS aviii,86
519 [441] [This is my letter to the World],ACKNOWLEDGMENTS aviii,87
S91 [465] [IP heard a Fly buzz - when I died - |,ACKNOWLEDGMENTS aviii,87
598 [632] [The Brain - is wider than the Sky - |,ACKNOWLEDGMENTS aviii,88
620 [435] [Much Madness is divinest Sense - |,ACKNOWLEDGMENTS aviii,88
656 [520] [I started Early - Took my Dog - |,ACKNOWLEDGMENTS aviii,88
764 [754] [My Life had stood - a loaded Gun - |,ACKNOWLEDGMENTS aviii,89
1096 [986] [A narrow Fellow in the Grass],ACKNOWLEDGMENTS aviii,90
1263 [1129] [Tell all the Truth but tell it slant - |,ACKNOWLEDGMENTS aviii,91
1668 [1624] [Apparently with no surprise],vii,91
1773 [1732] [My life closed twice before it's close;],vii,91
MARIA AMPARO RUIZ DE BURTON (1832-1895),vii,92
The Squatter and the Don,vii,93
Chapter V. The Don in His Broad Acres,vii,93
MARK TWAIN (Samuel L. Clemens) (1835-1910),vii,100
The Notorious Jumping Frog of Calaveras County,vii,104
Adventures of Huckleberry Finn,vii,108
Fenimore Cooper's Literary Offences,vii,294
Roughing It,vii,303
Chapter 23,vii,303
Letters from the Earth,vii,307
Satan's Letter,vii,309
Letter IL,vii,310
Letter IV,vii,313
Letter VI,vii,315
Letter to the Earth,vii,318
The War Prayer,vii,322
BRET HARTE (1836-1902),vii,324
The Luck of Roaring Camp,vii,326
Miggles,vii,333
Tennessee's Partner,vii,340
HENRY ADAMS (1838-1918),vii,347
The Education of Henry Adams,vii,349
Editor's Preface,vii,349
Preface,vii,350
Chapter XXV. The Dynamo and the Virgin,vii,351
AMBROSE BIERCE (1842-19147),vii,359
An Occurrence at Owl Creek Bridge,vii,360
Chickamauga,vii,366
NATIVE AMERICAN CHANTS AND SONGS,vii,371
based on Washington Matthews'’s text),vii,371
The Sacred Mountains,vii,372
"Dance of the Atsilei, Thunderbirds",vii,374
Frances Densmore),vii,377
Song of the Crows,vii,378
My Love Has Departed,vii,379
Love-Charm Song,vii,380
The Approach of the Storm,vii,381
The Sioux Women Gather Up Their Wounded,vii,381
The Sioux Woman Defends Her Children,vii,381
Song of the Captive Sioux Woman,vii,382
NATIVE AMERICAN ORATORY,vii,382
COCHISE (ea. 1812-1874),vii,383
{Lam alone] (version by Henry Stuart Turrill),vii,383
CHARLOT (ca. 1831-1900),vii,385
Missoulian),vii,385
HENRY JAMES (1843-1916),vii,388
Daisy Miller: A Study,vii,391
The Real Thing,vii,429
The Figure in the Carpet,vii,476
SARAH WINNEMUCCA (ca. 1844-1891),vii,501
Life Among the Piutes,vii,502
From Chapter I. First Meeting of Piutes and Whites,vii,502
From Chapter If. Domestic and Social Moralities,vii,507
From Chapter VIEL. The Yakima Affair,vii,510
JOEL CHANDLER HARRIS (1848-1908),vii,512
EMMA LAZARUS (1849-1887),vii,516
In the Jewish Synagogue at Newport,vii,518
1492,vii,519
The New Colossus,vii,520
SARAH ORNE JEWETT (1849-1909),vii,520
A White Heron,vii,522
KATE CHOPIN (1850-1904),vii,529
The Storm,vii,531
The Awakening,vii,535
MARY E. WILKINS FREEMAN (1852-1930),vii,625
A New England Nun,vii,626
The Revolt of “Mother”,vii,635
ANNA JULIA COOPER (1858-1964),vii,645
Woman Versus the Indian,vii,647
BOOKER T. WASHINGTON (1856-1915),vii,663
Up from Slavery,vii,665
Chapter I. A Slave among Slaves,vii,665
Chapter I. Boyhood Days,vii,673
Chapter XIV. The Atlanta Exposition Address,vii,680
CHARLES W. CHESNUTT (1858-1932),vii,688
The Goophered Grapevine,vii,689
The Wife of His Youth,vii,696
The Passing of Grandison,vii,704
CHARLES ALEXANDER EASTMAN (OHIYESA) (1858-1939),vii,716
From the Deep Woods to Civilization,vii,717
Chapter VII. The Ghost Dance War,vii,717
PAULINE HOPKINS (1859-1930),vii,724
Contending Forces,vii,725
"Chapter HI. ""Coming Events Cast Their Shadows Before”",vii,725
Chapter IV. The Tragedy,vii,734
Chapter XIE. The American Colored League,vii,739
Chapter XIV. Luke Sawyer Speaks to the League,vii,744
Chapter XV. Will Smith’s Defense of His Race,vii,748
HAMLIN GARLAND (1860-1940),vii,752
Under the Lion's Paw,vii,7353
ABRAHAM CAHAN (1860-1951),vii,762
The Imported Bridegroom,vii,764
CHARLOTTE PERKINS GILMAN (1860-1935),vii,806
The Yellow Wall-paper,vii,808
"Why I Wrote ""The Yellow Wall-paper""?",vii,820
She Walketh Veiled and Sleeping,vii,822
EDITH WHARTON (1862-1937),vii,829
Roman Fever,vii,843
IDA B. WELLS-BARNETT (1862-1931),vii,853
From Mob Rule in New Orleans,vii,854
SUI SIN FAR (Edith Maud Eaton) (1865-1914),vii,879
In the Land of the Free,vii,880
MARY HUNTER AUSTIN (1868-1934),vii,886
W. E. B. DU BOIS (1868-1963),vii,893
The Souls of Black Folk,vii,894
1. OF Our Spiritual Strivings,vii,895
LL. OF Mr. Booker T. Washington and Others,vii,901
REALISM AND NATURALISM,vii,911
WILLIAM DEAN HOWELLS,vii,913
"From Henry James, Jr.",vii,913
Explanation,vii,915
HENRY JAMES: From The Art of Fiction,vii,918
FRANK NORRIS,vii,920
Zola as a Romantic Writer,vii,921
A Plea for Romantic Fiction,vii,923
THEODORE DREISER: True Art Speaks Plainly,vii,926
JACK LONDON: From What Life Means to Me,vii,928
FRANK NORRIS (1870-1902),vii,931
Fantaisie Printaniére,vii,932
THEODORE DREISER (1871-1945),vii,938
Sister Carrie,vii,940
Chapter |,vii,940
Chapter HI,vii,947
STEPHEN CRANE (1871-1900),vii,954
Maggie: A Girl of the Streets,vii,957
The Open Boat,vii,1000
The Black Riders,vii,1016
Vi,vii,1016
XXIV,vii,1017
From War Is Kind,vii,1017
JAMES WELDON JOHNSON (1871-1938),vii,1019
Lift Every Voice and Sing,vii,1020
Autobiography of an Ex-Coloured Man,vii,1021
Chapter X,vii,1021
PAUL LAURENCE DUNBAR (1872-1906),vii,1038
When Malindy Sings,vii,1039
An Ante-Bellum Sermon,vii,1041
We Wear the Mask,vii,1043
Sympathy,vii,1043
Harrict Beecher Stowe,vii,1044
Frederick Douglass,vii,1044
JOHN M. OSKISON (1874-1947),vii,1046
The Problem of Old Harjo,vii,1046
JACK LONDON (1876-1916),vii,1051
The Law of Life,vii,1052
To Build a Fire,vii,1057
The Mexican,vii,1067
The House of Pride,vii,1084
Mauki,vii,1094
ZITKALA SA (Gertrude Simmons Bonnin) (1876-1938),vii,1105
Impressions of an Indian Childhoad,vii,1107
I. My Mother,vii,1107
Ul. The Legends,vii,1108
IV. The Coffee-Making,vii,1110
VIL. The Big Red Apples,vii,1101
The School Days of an Indian Girl,vii,1113
I. The Land of Red Apples,vii,1113
V. Iron Routine,vii,1116
VIL. Four Strange Summers,vii,1117
VIL. Incurring My Mother's Displeasure,vii,1119
An Indian Teacher among Indians,vii,1121
I. My First Day,vii,1121
LL. My Mother's Curse upon White Settlers,vii,1122
IV. Retrospection,vii,1123
The Soft-Hearted Sioux,vii,1124
Why | Am a Pagan,vii,1130
CORRIDOS,vii,1132
E! Corrido de Gregorio Cortez,vii,1133
Gregorio Cortez,vii,1134
Jacinto Trevifio,vii,1137
Tiempos Amargos,vii,1139
GHOST DANCE SONGS (translated and notated by James Mooney) —,vii,1140
Songs of the Arapaho,vii,1141
"[Father, have pity on me]",vii,1141
[When I met him approaching],vii,1141
Songs of the Sioux,vii,1142
[The father says so],vii,1142
[Give me my knife],vii,1143
[The whole world is coming},vii,1143
WOVOKA (ca. 1856-1932),vii,1144
The Messiah Letter: Cheyenne Version,vii,1145
The Messiah Letter: Mooney’s Free Rendering,vii,1146
"DEBATES OVER ""“AMERICANIZATION®",vii,1147
the Frontier in American History,vii,1148
THEODORE ROOSEVELT: From American Ideals,vii,1153
From The Strenuous Life,vii,1156
HELEN HUNT JACKSON: From A Century of Dishonor,vii,1159
JOSE MARTI: From Our America,vii,1164
CHARLES W. CHESNUTT: A Defamer of His Race,vii,1167
JANE ADDAMS: Twenty Years at Hull-House,vii,1169
"From Chapter V, First Days at Hull House",vii,1170
Chapter XL. Immigrants and Their Children,vii,1172
ANNA JULIA COOPER: From One Phase of American Literature,vii,1174
Introduction,ACKNOWLEDGMENTS xxiii,1177
Timeline,ACKNOWLEDGMENTS xxiii,1191
(1881-1973),ACKNOWLEDGMENTS xxiii,1193
Black Elk Speaks,ACKNOWLEDGMENTS xxiii,1194
UL. The Great Vision,ACKNOWLEDGMENTS xxiii,1194
EDGAR LEE MASTERS (1868-1950),ACKNOWLEDGMENTS xxiii,1206
"Trainor, the Druggist",ACKNOWLEDGMENTS xxiii,1207
Doc Hill,ACKNOWLEDGMENTS xxiii,1207
Margaret Fuller Slack,ACKNOWLEDGMENTS xxiii,1208
Abel Melveny,ACKNOWLEDGMENTS xxiii,1208
Lucinda Matlock,ACKNOWLEDGMENTS xxiii,1209
EDWIN ARLINGTON ROBINSON (1869-1935),ACKNOWLEDGMENTS xxiii,1209
Luke Havergal,ACKNOWLEDGMENTS xxiii,1210
Richard Cory,ACKNOWLEDGMENTS xxiii,1211
Miniver Cheevy,ACKNOWLEDGMENTS xxiii,1211
Mr. Flood’s Party,ACKNOWLEDGMENTS xxiii,1212
WILLA CATHER (1873-1947),ACKNOWLEDGMENTS xxiii,1214
My Antonia,ACKNOWLEDGMENTS xxiii,1216
AMY LOWELL (1874-1925),ACKNOWLEDGMENTS xxiii,1349
The Captured Goddess,ACKNOWLEDGMENTS xxiii,1350
Venus Transiens,ACKNOWLEDGMENTS xxiii,1352
Madonna of the Evening Flowers,ACKNOWLEDGMENTS xxiii,1352
"September, 1918",ACKNOWLEDGMENTS xxiii,1353
Meeting-House Hill,ACKNOWLEDGMENTS xxiii,1354
Summer Night Piece,ACKNOWLEDGMENTS xxiii,1354
St. Louis,ACKNOWLEDGMENTS xxiii,1355
New Heavens for Old,ACKNOWLEDGMENTS xxiii,1355
GERTRUDE STEIN (1874-1946),vii,1356
The Making of Americans,vii,1358
[Introduction],vii,1358
WORLD WAR LAND ITS AFTERMATH,vii,1371
ALAN SEEGER: | Have a Rendezvous with Death . . .,vii,1373
JOHN REED: One Solid Month of Liberty,vii,1374
"ERNEST HEMINGWAY: Letter of August 18, 1918, to His Parents",vii,1377
E. E. CUMMINGS: From The Enormous Room,vii,1379
JESSIE REDMON PAUSET: From There Is Confusion,vii,1382
"JOHN ALLAN WYETH, Jr.: Fromereville",vii,1384
GERTRUDE STEIN: From The Autobiography of Alice B. Toklas,vii,1385
ROBERT FROST (1874-1963),vii,1388
The Pasture,vii,1389
Mowing,vii,1389
Mending Wall,vii,1390
The Death of the Hired Man,vii,1391
Home Burial,vii,1395
After Apple-Picking,vii,1398
The Wood-Pile,vii,1399
The Road Not Taken,vii,1399
The Oven Bird,vii,1400
Birches,vii,1400
"“Out, Our—""",vii,1402
Fire and Ice,vii,1403
Nothing Gold Can Stay,vii,1403
Stopping by Woods on a Snowy Evening,vii,1403
Departmental,vii,1404
Desert Places,vii,1405
Design,vii,1405
Neither Out Far Nor In Deep,vii,1406
"Provide, Provide",vii,1406
The Gift Outright,vii,1407
Directive,vii,1409
The Figure a Poem Makes,vii,1409
SUSAN GLASPELL (1876-1948),vii,1411
Trifles,vii,1412
SHERWOOD ANDERSON (1876-1941),vii,1421
"Winesburg, Ohio",vii,1422
Hands,vii,1422
Mother,vii,1426
Adventure,vii,1431
CARL SANDBURG (1878-1967),vii,1436
Chicago,vii,1437
Fog,vii,1438
Cool Tombs,vii,1438
Grass,vii,1439
WALLACE STEVENS (1879-1955),vii,1439
The Snow Man,vii,1441
A High-Toned Old Christian Woman,vii,1441
The Emperor of Ice-Cream,vii,1442
Disillusionment of Ten O'Clock,vii,1443
Sunday Morning,vii,1443
Anecdote of the Jar,vii,1446
Peter Quince at the Clavier,vii,1446
Thirteen Ways of Looking at a Blackbird,vii,1448
The Death of a Soldier,vii,1450
The Idea of Order at Key West,vii,1451
A Postcard from the Volcano,vii,1452
Study of Two Pears,vii,1453
OF Modern Poetry,vii,1453
Asides on the Oboe,vii,1454
The Plain Sense of Things,vii,1455
MINA LOY (1882-1966),vii,1456
Parturition,vii,1457
Brancusi’s Golden Bird,vii,1460
Lunar Baedeker,vii,1461
WILLIAM CARLOS WILLIAMS (1883-1963),vii,1462
The Young Housewife,vii,1464
Portrait of a Lady,vii,1464
Qucen-Anne's-Lace,vii,1465
The Widow's Lament in Springtime,vii,1466
Spring and All,vii,1466
To Elsie,vii,1467
The Red Wheelbarrow,vii,1469
The Dead Baby,vii,1469
The Wind Increases,vii,1470
Death,vii,1471
This Is Just to Say,vii,1472
A Sort of a Song,vii,1473
"The Dance (""In Brueghel’s great picture, The Kermess”)",vii,1473
Burning the Christmas Greens,vii,1473
Landscape with the Fall of learus,vii,1475
"The Dance (""When the snow falls the flakes”)",vii,1476
EZRA POUND (1885-1972),vii,1477
"To Whistler, American",vii,1479
Portrait dune Femme,vii,1479
A Virginal,vii,1480
A Pact,vii,1481
The Rest,vii,1481
In a Station of the Metro,vii,1482
The River-Merchant’s Wife: A Letter,vii,1482
Villanelle: The Psychological Hour,vii,1483
Hugh Sehvyn Mauberley (Life and Contacts},vii,1484
The Cantos,vii,1492
"1 (And then went down to the ship"")",vii,1492
"XVII (""So that the vines burst from my fingers”)",vii,1494
"XLV (""With Usura”)",vii,1497
MODERNIST MANIFESTOS,vii,1499
F. T. MARINETTI: From Manifesto of Futurism,vii,1500
MINA LOY: Feminist Manifesto,vii,1502
EZRA POUND: From A Retrospect,vii,1505
WILLA CATHER: From The Novel Démeublé,vii,1508
WILLIAM CARLOS: Williams: From Spring and All,vii,1510
Mountain,vii,1511
H. D. (HILDA DOOLITTLE) (1886-1961),vii,1514
Mid-day,vii,1515
Oread,vii,1516
Leda,vii,1516
Fragment 113,vii,1517
Helen,vii,1518
The Walls Do Not Fall,vii,1519
1-6,vii,1519
20-24,vii,1525
39-43,vii,1528
MARIANNE MOORE (1887-1972),vii,1531
Poetry,vii,1532
A Grave,vii,1533
To a Snail,vii,1534
What Are Years?,vii,1535
The Paper Nautilus,vii,1535
The Mind Is an Enchanting Thing,vii,1536
In Distrust of Merits,vii,1537
RAYMOND CHANDLER (1888-1959),vii,1539
Red Wind,vii,1541
T. S. ELIOT (1888-1965),vii,1574
The Love Song of J. Alfred Prufrock,vii,1577
Sweeney among the Nightingales,vii,1580
From Tradition and the Individual Talent,vii,1581
Gerontion,vii,1585
The Waste Land,vii,1587
The Hollow Men,vii,1599
Journey of the Magi,vii,1602
Four Quartets,vii,1603
Burnt Norton,vii,1603
EUGENE O'NEILL (1888-1953),vii,1607
Long Day's Journey into Night,vii,1610
CLAUDE McKAY (1889-1948),vii,1686
The Harlem Dancer,vii,1687
Harlem Shadows,vii,1687
The Lynching,vii,1688
If We Must Die,vii,1688
Africa,vii,1688
America,vii,1689
Outcast,vii,1689
Moscow,vii,1690
KATHERINE ANNE PORTER (1890-1980),vii,1690
Flowering Judas,vii,1691
ZORA NEALE HURSTON (1891-1960),vii,1700
The Eatonville Anthology,vii,1701
How It Feels to Be Colored Me,vii,1710
The Gilded Six-Bits,vii,1713
NELLA LARSEN (1891-1964),vii,1721
Quicksand,vii,1722
EDNA ST. VINCENT MILLAY (1892-1950),vii,1803
Recuerdo,vii,1804
1 Think | Should Have Loved You Presently,vii,1805
"(I, being born a woman]",vii,1805
Apostrophe to Man,vii,1805
"1 Too beneath Your Moon, Almighty Sex",vii,1806
The Snow Storm,vii,1806
1 Forgot for a Moment,vii,1807
E. E. COMMINGS (1894-1962),vii,1807
Thy fingers make early flowers of,vii,1808
in Just-,vii,1809
O sweet spontancous,vii,1809
Buffalo Bill's,vii,1810
the Cambridge ladies who live in furnished souls,vii,1811
anyone lived in a pretty how town,vii,1813
"pity this busy monster, manunkind",vii,1816
JEAN TOOMER (1894-1967),vii,1816
Fern,vii,1818
Portrait in Georgia,vii,1821
Seventh Street,vii,1821
F. SCOTT FITZGERALD (1896-1940),vii,1822
Winter Dreams,vii,1823
Babylon Revisited,vii,1839
JOHN DOS PASSOS (1896-1970),vii,1853
U.S.A.,vii,1854
The Big Money,vii,1854
Newsreel LXVIII,vii,1854
The Camera Eye (51),vii,1856
WILLIAM FAULKNER (1897-1962),vii,1858
As I Lay Dying,vii,1860
Barn Burning,vii,1955
HART CRANE (1899-1932),vii,1968
Chaplinesque,vii,1969
At Melville's Tomb,vii,1969
Voyages,vii,1970
"I (Above the fresh raffles of the surf"")",vii,1970
"HE (""Infinite consanguinity it bears—"")",vii,1971
"V (""Meticulous, past midnight in clear rime"")",vii,1971
The Bridge,vii,1972
To Brooklyn Bridge,vii,1972
From IL. Powhatan’s Daughter,vii,1973
VIL The Tunnel,vii,1977
ERNEST HEMINGWAY (1899-1961),vii,1980
The Snows of Kilimanjaro,vii,1983
THOMAS WOLFE (1900-1938),vii,1999
The Lost Boy,vii,2001
STERLING BROWN (1901-1989),vii,2020
Mister Samuel and Sam,vii,2021
He Was a Man,vii,2022
Master and Man,vii,2024
Break of Day,vii,2024
Bitter Fruit of the Tree,vii,2025
LANGSTON HUGHES (1902-1967),vii,2026
The Negro Speaks of Rivers,vii,2027
Mather to Son,vii,2028
"1, Too",vii,2028
The Weary Blues,vii,2029
Mulatto,vii,2029
Song for a Dark Girl,vii,2031
Genius Child,vii,2031
Visitors to the Black Belt,vii,2032
Note on Commercial Theatre,vii,2032
Vagabonds,vii,2033
Words Like Freedom,vii,2033
Madam and Her Madam,vii,2033
Freedom [1],vii,2034
Madam’'s Calling Cards,vii,2035
Silhouette,vii,2035
Theme for English B,vii,2036
KAY BOYLE (1902-1992),vii,2037
The White Horses of Vienna,vii,2038
JOHN STEINBECK (1902—1968),vii,2049
The Leader of the People,vii,2050
COUNTEE CULLEN (1903-1946),vii,2061
Yet Do I Marvel,vii,2061
Incident,vii,2061
Heritage,vii,2062
From the Dark Tower,vii,2065
Uncle Jim,vii,2065
RICHARD WRIGHT (1908-1960),vii,2066
The Man Who Was Almost a Man,vii,2067
CARLOS BULOSAN (1911-1956),vii,2076
Be American,vii,2076
American Literature since,ACKNOWLEDGMENTS xxxi,1945
Introduction,ACKNOWLEDGMENTS xxxi,2083
Timeline,ACKNOWLEDGMENTS xxxi,2093
LORINE NIEDECKER (1903-1970),ACKNOWLEDGMENTS xxxi,2097
Poet's Work,ACKNOWLEDGMENTS xxxi,2098
{I married],ACKNOWLEDGMENTS xxxi,2099
My Life by Water,ACKNOWLEDGMENTS xxxi,2099
Lake Superior,ACKNOWLEDGMENTS xxxi,2100
Wild Pigeon,ACKNOWLEDGMENTS xxxi,2101
Watching Dancers on Skates,ACKNOWLEDGMENTS xxxi,2102
"(Well, spring overflows the land]",ACKNOWLEDGMENTS xxxi,2102
Radio Talk,ACKNOWLEDGMENTS xxxi,2103
STANLEY KUNITZ (1905-2006),ACKNOWLEDGMENTS xxxi,2103
Father and Son,ACKNOWLEDGMENTS xxxi,2105
After the Last Dynasty,ACKNOWLEDGMENTS xxxi,2106
Quinnapoxet,ACKNOWLEDGMENTS xxxi,2107
The Wellfleet Whale,ACKNOWLEDGMENTS xxxi,2108
ROBERT PENN WARREN (1905-1989),ACKNOWLEDGMENTS xxxi,2111
Bearded Oaks,ACKNOWLEDGMENTS xxxi,2113
Audubon,ACKNOWLEDGMENTS xxxi,2114
I. Was Not the Lost Dauphin,ACKNOWLEDGMENTS xxxi,2114
VL. Love and Knowledge,ACKNOWLEDGMENTS xxxi,2115
VU. Tell Me a Story,ACKNOWLEDGMENTS xxxi,2116
American Portrait: Old Style,ACKNOWLEDGMENTS xxxi,2116
Mortal Limit,ACKNOWLEDGMENTS xxxi,2120
GEORGE OPPEN (1908-1984),ACKNOWLEDGMENTS xxxi,2120
Party on Shipboard,ACKNOWLEDGMENTS xxxi,2122
"[She lies, hip high]",ACKNOWLEDGMENTS xxxi,2122
The Hills,ACKNOWLEDGMENTS xxxi,2122
Workman,ACKNOWLEDGMENTS xxxi,2123
Psalm,ACKNOWLEDGMENTS xxxi,2123
From Of Being Numerous,vii,2124
Anniversary Poem,vii,2132
THEODORE ROETHKE (1908-1963),vii,2133
Cuttings,vii,2134
Cuttings (liter),vii,2135
Root Cellar,vii,2135
Big Wind,vii,2135
Weed Puller,vii,2136
"Frau Bauman, Frau Schmidt, and Frau Schwartze",vii,2137
Child on Top of a Greenhouse,vii,2137
My Papa’s Waltz,vii,2138
Dolor,vii,2138
Night Crow,vii,2139
The Lost Son,vii,2139
The Waking,vii,2143
Elegy for Jane,vii,2144
1 Knew a Woman,vii,2145
Wish for a Young Wife,vii,2145
In a Dark Time,vii,2146
EUDORA WELTY (1909-2001),vii,2146
Petrified Man,vii,2148
CHARLES OLSON (1910-1970),vii,2157
THE MAXIMUS POEMS,vii,2159
"I, Maximus of Gloucester, to You",vii,2159
"Maximus, to Himself",vii,2162
(When do poppies bloom],vii,2164
"Celestial Evening, October 1967",vii,2164
ELIZABETH BISHOP (1911-1979),vii,2166
The Fish,vii,2167
"Over 2,000 Hlustrations and a Complete Concordance",vii,2169
The Bight,vii,2171
At the Fishhouses,vii,2172
Questions of Travel,vii,2173
The Armadillo,vii,2175
Sestina,vii,2176
In the Waiting Room,vii,2177
The Moose,vii,2179
One Art,vii,2183
TENNESSEE WILLIAMS (1911-1983),vii,2184
A Streetcar Named Desire,vii,2186
JOHN CHEEVER (1912-1982),vii,2248
The Swimmer,vii,2250
ROBERT HAYDEN (1913-1980),vii,2257
Middle Passage,vii,2259
Homage to the Empress of the Blues,vii,2264
Those Winter Sundays,vii,2264
Free Fantasia: Tiger Flowers,vii,2265
RANDALL JARRELL (1914-1965),vii,2266
90 North,vii,2267
The Death of the Ball Turret Gunner,vii,2268
Second Air Force,vii,2268
Next Day,vii,2269
Well Water,vii,2271
Thinking of the Lost World,vii,2271
JOHN BERRYMAN (1914-1972),vii,2273
From Homage to Mistress Bradstreet,vii,2275
The Dream Songs,vii,2281
"1 (Huffy Henry hid — the day"")",vii,2281
"14 (""Life, friends, is boring. We must not say so"")",vii,2281
"29 (‘There sat down, once, a thing on Henry’s heart”)",vii,2282
"40 (""I'm scared a lonely. Never see my son"")",vii,2282
"45 (""He stared at ruin. Ruin stared straight back"")",vii,2283
"384 (""The marker slants, flowerless, day's almost done"")",vii,2284
BERNARD MALAMUD (1914-1986),vii,2284
The Magic Barrel,vii,2285
RALPH ELLISON (1914-1994),vii,2297
Invisible Man,vii,2298
Prologue,vii,2298
Chapter I [Battle Royal],vii,2304
SAUL BELLOW (1915-2005),vii,2315
The Adventures of Augie March,vii,2317
Chapter One,vii,2317
ARTHUR MILLER (1915-2005),vii,2325
Death of a Salesman,vii,2327
ROBERT LOWELL (1917-1977),vii,2392
Colloquy in Black Rock,vii,2394
The Quaker Graveyard in Nantucket,vii,2395
Mr. Edwards and the Spider,vii,2399
My Last Afternoon with Uncle Devereux Winslow,vii,2400
Memories of West Street and Lepke,vii,2404
Skunk Hour,vii,2405
Night Sweat,vii,2407
For the Union Dead,vii,2407
GWENDOLYN BROOKS (1917-2000),vii,2409
A STREET IN BRONZEVILLE,vii,2411
kitchenette building,vii,2411
the mother,vii,2411
a song in the front yard,vii,2412
Like Men,vii,2413
The Womanhood,vii,2413
The Children of the Poor (11),vii,2413
We Real Cool,vii,2413
The Bean Eaters,vii,2414
Mother Burns Bacon,vii,2414
The Last Quatrain of the Ballad of Emmete Till,vii,2418
The Blackstone Rangers,vii,2418
To the Diaspora,vii,2420
ROBERT DUNCAN (1919-1988),vii,2421
Often | Am Permitted to Return to a Meadow,vii,2423
A Poem Beginning with a Line by Pindar,vii,2424
Interrupted Forms,vii,2431
RICHARD WILBUR (b. 1921),vii,2431
The Beautiful Changes,vii,2432
The Death of a Toad,vii,2433
“A World without Objects Is a Sensible Emptiness”,vii,2433
Love Calls Us to the Things of This World,vii,2434
The Mind-Reader,vii,2435
JACK KEROUAC (1922-1969),vii,2439
Big Sur,vii,2440
Chapter §,vii,2440
Chapter 9,vii,2442
Chapter 10,vii,2443
Chapter 11,vii,2446
Chapter 12,vii,2451
Chapter 13,vii,2453
Chapter 14,vii,2456
KURT VONNEGUT (b. 1922),vii,2460
Slaughterhouse-Five,vii,2461
Chapter One,vii,2461
GRACE PALEY (b. 1922),vii,2472
A Conversation with My Father,vii,2473
JAMES DICKEY (1923-1997),vii,2477
Drowning with Others,vii,2478
The Heaven of Animals,vii,2479
Falling,vii,2480
POSTMODERN MANIFESTOS,vii,2485
RONALD SUKENICK: Innovative Fiction/Innovative Criteria,vii,2486
WILLIAM H. GASS: The Medium of Fiction,vii,2488
HUNTER S. THOMPSON: From Fear and Loathing in Las Vegas,vii,2492
CHARLES OLSON: From Projective Verse,vii,2493
FRANK O'HARA: From Personism: A Manifesto,vii,2495
"March 21, 1972",vii,2497
A.R. AMMONS: From A Poem Is a Walk,vii,2499
AUDRE LORDE: From Poetry Is Not a Luxury,vii,2501
DENISE LEVERTOV (1923-1997),vii,2502
To the Snake,vii,2503
The Jacob's Ladder,vii,2504
In Mind,vii,2504
September 1961,vii,2505
What Were They Like?,vii,2506
Caedmon,vii,2507
JAMES BALDWIN (1924-1987),vii,2508
Going to Meet the Man,vii,2509
FLANNERY O'CONNOR (1925-1964),vii,2521
The Life You Save May Be Your Own,vii,2522
Good Country People,vii,2529
ALR. AMMONS (1926-2001),vii,2543
So 1 Said LAm Ezra,vii,2544
Corsons Inlet,vii,2545
Easter Morning,vii,2548
Singling & Doubling Together,vii,2550
From Garbage,vii,2551
JAMES MERRILL (1926-1995),vii,2555
An Urban Convalescence,vii,2556
The Broken Home,vii,2558
Dead Center,vii,2561
Family Week at Oracle Ranch,vii,2561
ROBERT CREELEY (1926-2005),vii,2567
Kore,vii,2569
1 Know a Man,vii,2570
For Love,vii,2570
The Messengers,vii,2572
The Birds,vii,2572
Fathers,vii,2573
ALLEN GINSBERG (1926-1997),vii,2574
Howl,vii,2576
Footnote to Howl,vii,2583
A Supermarket in California,vii,2584
