Work,Author,Page Number
Chapter XXXIV. The Quadroon’s Story,vii,1780
Chapter XL. The Martyr,vii,1787
FANNY FERN (SARAH WILLIS PARTON) (1811-1872),vii,1792
Aunt Hetty on Matrimony,vii,1794
Hungry Husbands,vii,1795
Barnum's Museum,vii,1796
Tom Pax’s Conjugal Soliloquy,vii,1798
Male Criticism on Ladies’ Books,vii,1799
"“Fresh Leaves, by Fanny Fern""",vii,1800
A Law More Nice Than Just,vii,1802
Ruth Hall,vii,1803
Chapter LIV,vii,1803
Chapter LVI,vii,1806
HARRIET JACOBS (ca. 1813-1897),vii,1808
Incidents in the Life of a Slave Girl,vii,1809
I. Childhood,vii,1809
VIL. The Lover,vii,1812
X. A Perilous Passage in the Slave Girl's Life,vii,1816
NIV. Another Link to Life,vii,1819
XXI. The Loophole of Retreat,vii,1822
XLI. Free at Last,vii,1824
WILLIAM WELLS BROWN,vii,1829
"Narrative of William W. Brown, A Fugitive Slave",vii,1831
Chapter VI [Slavery’s Deceptions],vii,1831
The Narrative of the Life and Escape of William Wells Brown,vii,1837
[Escape; Self-Education],vii,1837
"Clotel; or, The President's Daughter",vii,1841
Chapter I. The Negro Sale,vii,1841
Chapter XXIV. The Arrest,vii,1847
Chapter XXV. Death Is Freedom,vii,1850
HENRY DAVID THOREAU (1817-1862),vii,1853
Resistance to Civil Government,vii,1857
"Walden, or Life in the Woods",vii,1872
Slavery in Massachusetts,vii,2046
From A Plea for Captain John Brown,vii,2056
FREDERICK DOUGLASS (1818-1895),vii,2060
Written by Himself,vii,2064
My Bondage and My Freedom,vii,2129
Chapter [. The Author's Childhood,vii,2129
Chapter I. The Author Removed from His First Home,vii,2133
Chapter HI. The Author's Parentage,vii,2136
What to the Slave Is the Fourth of July?,vii,2140
The Heroic Slave,vii,2143
"SECTION, REGION, NATION",vii,2171
DANIEL WEBSTER: From First Settlement of New England,vii,2172
WILLIAM GILMORE SIMMS: Written in Mississippi,vii,2175
From Americanism in Literature,vii,2177
RICHARD HENRY DANA JR.: Front Two Years before the Mast,vii,2179
JOHN LOUIS O'SULLIVAN: From Annexation,vii,2182
FRANCIS PARKMAN JR.: From The California and Oregon Trail,vii,2183
1852. Residence in the Mines,vii,2186
Civil War,vii,2189
WALT WHITMAN (1819-1892),vii,2190
Preface to Leaves of Grass (1855),vii,2195
Inscriptions,vii,2209
One's-Self I Sing,vii,2209
Shut Not Your Doors,vii,2210
Song of Myself (1881),vii,2210
Children of Adam,vii,2254
From Pent-up Aching Rivers,vii,2254
A Woman Waits for Me,vii,2256
Spontancous Me,vii,2257
Once | Pass'd through a Populous City,vii,2259
Facing West from California's Shores,vii,2259
Calamus,vii,2260
Scented Herbage of My Breast,vii,2260
Whoever You Are Holding Me Now in Hand,vii,2261
Trickle Drops,vii,2262
Here the Frailest Leaves of Me,vii,2262
Crossing Brooklyn Ferry,vii,2263
Sea-Drift,vii,2267
Out of the Cradle Endlessly Rocking,vii,2267
As 1 Ebb'd with the Ocean of Life,vii,2272
By the Roadside,vii,2274
When I Heard the Learn’d Astronomer,vii,2274
The Dalliance of the Eagles,vii,2274
Drum-Taps,vii,2275
Beat! Beat! Drums!,vii,2275
Cavalry Crossing a Ford,vii,2276
Vigil Strange | Kept on the Field One Night,vii,2276
"A March in the Ranks Hard-Prest, and the Road Unknown",vii,2277
A Sight in Camp in the Daybreak Gray and Dim,vii,2278
As Toilsome | Wander'd Virginia's Woods,vii,2278
The Wound-Dresser,vii,2279
Reconciliation,vii,2281
As 1 Lay with My Head in Your Lap Camerado,vii,2281
Spirit Whose Work Is Done,vii,2282
Memories of President Lincoln,vii,2282
When Lilacs Last in the Dooryard Bloom'd,vii,2282
Whispers of Heavenly Death,vii,2288
A Noiseless Patient Spider,vii,2288
Letter to Ralph Waldo Emerson,vii,2289
"Live Oak, with Moss",vii,2296
From Democratic Vistas,vii,2300
HERMAN MELVILLE (1819-1891),vii,2304
Hawthorne and His Mosses,vii,2308
Moby-Dick,vii,2320
Chapter 1. Loomings,vii,2321
Chapter 3. The Spouter-Inn,vii,2325
Chapter 28. Ahab,vii,2335
Chapter 36. The Quarter-Deck,vii,2337
Chapter 41. Moby Dick,vii,2342
Chapter 42. The Whiteness of the Whale,vii,2349
Chapter 135. The Chase—Third Day,vii,2355
Epilogue,vii,2363
"Bartleby, the Scrivener",vii,2363
The Paradise of Bachelors and the Tartarus of Maids,vii,2389
Benito Cereno,vii,2405
Battle-Pieces,vii,2461
The Portent,vii,2461
Misgivings,vii,2462
The March into Virginia,vii,2462
A Utilitarian View of the Monitor's Flight,vii,2463
Shiloh,vii,2464
The House-top,vii,2465
John Marr and Other Sailors,vii,2466
The Maldive Shark,vii,2466
The Berg,vii,2466
"Timoleon, Ete.",vii,2467
Monody,vii,2467
Art,vii,2468
"Billy Budd, Sailor",vii,2468
ELIZABETH DREW STODDARD (1823-1902),vii,2524
Lemore versus Huell,vii,2525
FRANCES ELLEN WATKINS HARPER (1825-1911),vii,2538
Eliza Harris,vii,2539
The Slave Mother,vii,2541
Ethiopia,vii,2542
The Fugitive’s Wife,vii,2543
The Tennessee Hero,vii,2544
Bury Me ina Free Land,vii,2545
The Colored People in America,vii,2546
The Two Offers,vii,2547
EMILY DICKINSON (1830-1886),vii,2554
39 [49] [I never lost as much but twice - |,vii,2558
112 [67] [Success is counted sweetest],vii,2558
122 [130] [These are the days when Birds come back - },vii,2559
123 [131] [Besides the Autumn poets sing],vii,2560
124 [216] [Safe in their Alabaster Chambers - |,vii,2560
